,flightNum,,org,,dest,dep_time in sec from midnight,arr_time in sec from midnight,day,fleet,tail,,,flight time,turn time,distance_mile
133,1698,0,FLL,0,LGA,38700,49440,17,A319,N338NB,0,0,179,2700,935
134,1779,0,LGA,0,FLL,52140,63600,17,A319,N338NB,0,0,191,3600,935
135,1514,0,FLL,0,LGA,67200,77940,17,A319,N338NB,0,1,179,0,935
136,1133,0,RAP,0,MSP,31500,36660,17,A319,N339NB,1,0,86,3540,423
137,1512,0,MSP,0,MKE,40200,44340,17,A319,N339NB,0,0,69,2160,257
138,1512,0,MKE,0,MSP,46500,50640,17,A319,N339NB,0,0,69,2460,257
139,309,0,MSP,0,PIT,53100,59820,17,A319,N339NB,0,0,112,2280,629
140,309,0,PIT,0,MSP,62100,70080,17,A319,N339NB,0,0,133,2940,629
141,946,0,MSP,0,DTW,73020,78900,17,A319,N339NB,0,1,98,0,457
142,2294,0,GSO,0,ATL,21600,25980,17,A319,N340NB,1,0,73,2820,265
143,1863,0,ATL,0,LIT,28800,33900,17,A319,N340NB,0,0,85,2100,391
144,1863,0,LIT,0,ATL,36000,41460,17,A319,N340NB,0,0,91,2460,391
145,1771,0,ATL,0,MEM,43920,48600,17,A319,N340NB,0,0,78,2520,286
146,1771,0,MEM,0,ATL,51120,56460,17,A319,N340NB,0,0,89,2640,286
147,1778,0,ATL,0,MEM,59100,64140,17,A319,N340NB,0,0,84,2280,286
148,10,0,MEM,0,ATL,66420,71760,17,A319,N340NB,0,0,89,8340,286
149,2249,0,ATL,0,IAH,80100,87540,17,A319,N340NB,0,1,124,0,596
150,557,0,MSP,0,DTW,28320,34200,17,A319,N341NB,1,0,98,2700,457
151,2066,0,DTW,0,CLT,36900,43380,17,A319,N341NB,0,0,108,2520,434
152,2066,0,CLT,0,DTW,45900,52620,17,A319,N341NB,0,0,112,2580,434
153,2385,0,DTW,0,MSY,55200,63900,17,A319,N341NB,0,0,145,2460,804
154,1628,0,MSY,0,DTW,66360,75600,17,A319,N341NB,0,1,154,0,804
155,2388,0,SNA,0,MSP,42300,54780,17,A319,N342NB,1,0,208,2820,1319
156,1987,0,MSP,0,STL,57600,62640,17,A319,N342NB,0,0,84,2460,389
157,1544,0,STL,0,MSP,65100,70500,17,A319,N342NB,0,0,90,3600,389
158,2107,0,MSP,0,IAD,74100,82260,17,A319,N342NB,0,1,136,0,786
159,1275,0,DCA,0,DTW,27900,33480,17,A319,N343NB,1,0,93,41520,351
160,879,0,DTW,0,OMA,75000,81960,17,A319,N343NB,0,1,116,0,563
161,1965,0,BZN,0,SLC,30300,34500,17,A319,N344NB,1,0,70,4200,300
162,1082,0,SLC,0,OAK,38700,45840,17,A319,N344NB,0,0,119,2460,509
163,1082,0,OAK,0,SLC,48300,54000,17,A319,N344NB,0,0,95,3120,509
164,2547,0,SLC,0,IND,57120,68400,17,A319,N344NB,0,0,188,2100,1173
165,2548,0,IND,0,SLC,70500,83040,17,A319,N344NB,0,0,209,2820,1173
166,2355,0,SLC,0,BZN,85860,90060,17,A319,N344NB,0,1,70,0,300
167,810,0,IAH,0,ATL,28800,36480,17,A319,N345NB,1,0,128,27960,596
168,2420,0,ATL,0,GSO,64440,69480,17,A319,N345NB,0,1,84,0,265
169,665,0,DTW,0,BNA,30600,36240,17,A319,N346NB,1,0,94,2160,396
170,1510,0,BNA,0,DTW,38400,44520,17,A319,N346NB,0,0,102,2580,396
171,678,0,DTW,0,MCI,47100,54480,17,A319,N346NB,0,0,123,2220,543
172,2640,0,MCI,0,SLC,56700,65940,17,A319,N346NB,0,0,154,2880,795
173,725,0,SLC,0,MSY,68820,80940,17,A319,N346NB,0,1,202,0,1238
174,1129,0,EWR,0,DTW,21600,28620,17,A319,N347NB,1,0,117,3300,422
175,1059,0,DTW,0,MSY,31920,40860,17,A319,N347NB,0,0,149,2340,804
176,252,0,MSY,0,DTW,43200,52320,17,A319,N347NB,0,0,152,3780,804
177,2621,0,DTW,0,MSN,56100,60660,17,A319,N347NB,0,0,76,2340,269
178,2621,0,MSN,0,DTW,63000,67860,17,A319,N347NB,0,0,81,3240,269
179,2521,0,DTW,0,DCA,71100,76500,17,A319,N347NB,0,1,90,0,351
180,1737,0,DTW,0,BWI,26760,32400,17,A319,N348NB,1,0,94,2400,353
181,1737,0,BWI,0,DTW,34800,40140,17,A319,N348NB,0,0,89,3660,353
182,2393,0,DTW,0,MSP,43800,50520,17,A319,N348NB,0,0,112,2580,457
183,1656,0,MSP,0,OMA,53100,56760,17,A319,N348NB,0,0,61,2400,244
184,2354,0,OMA,0,MSP,59160,63180,17,A319,N348NB,0,0,67,2520,244
185,1430,0,MSP,0,ORD,65700,70740,17,A319,N348NB,0,0,84,2580,289
186,1430,0,ORD,0,MSP,73320,78480,17,A319,N348NB,0,0,86,2880,289
187,1117,0,MSP,0,BIL,81360,89040,17,A319,N348NB,0,1,128,0,647
188,963,0,SLC,0,GEG,39540,45300,17,A319,N349NB,1,0,96,2400,473
189,963,0,GEG,0,SLC,47700,53280,17,A319,N349NB,0,0,93,7920,473
190,1434,0,SLC,0,PHX,61200,63300,17,A319,N349NB,0,0,35,3600,440
191,1720,0,PHX,0,SLC,66900,75900,17,A319,N349NB,0,0,150,3900,440
192,1243,0,SLC,0,JAC,79800,83400,17,A319,N349NB,0,1,60,0,177
193,2006,0,LGA,0,MSY,29400,40920,17,A319,N351NB,1,0,192,2280,1026
194,2006,0,MSY,0,LGA,43200,54060,17,A319,N351NB,0,0,181,2940,1026
195,1902,0,LGA,0,PBI,57000,68580,17,A319,N351NB,0,0,193,2580,899
196,1902,0,PBI,0,LGA,71160,81300,17,A319,N351NB,0,1,169,0,899
197,1941,0,MHT,0,ATL,21000,31260,17,A319,N352NB,1,0,171,5340,825
198,1276,0,ATL,0,CMH,36600,42300,17,A319,N352NB,0,0,95,2580,388
199,1276,0,CMH,0,ATL,44880,50700,17,A319,N352NB,0,0,97,3600,388
200,694,0,ATL,0,MSN,54300,62040,17,A319,N352NB,0,0,129,2100,614
201,694,0,MSN,0,ATL,64140,72000,17,A319,N352NB,0,0,131,2400,614
202,993,0,ATL,0,CRW,74400,79200,17,A319,N352NB,0,1,80,0,315
203,2524,0,LGA,0,FLL,38400,49860,17,A319,N353NB,1,0,191,2340,935
204,2576,0,FLL,0,LGA,52200,63240,17,A319,N353NB,0,1,184,0,935
205,2135,0,TPA,0,LGA,25200,34800,17,A319,N354NB,1,0,160,3300,878
206,1903,0,LGA,0,SRQ,38100,49140,17,A319,N354NB,0,0,184,2460,909
207,1903,0,SRQ,0,LGA,51600,61860,17,A319,N354NB,0,0,171,2880,909
208,1935,0,LGA,0,TPA,64740,75780,17,A319,N354NB,0,1,184,0,878
209,878,0,OMA,0,DTW,25200,32340,17,A319,N355NB,1,0,119,3660,563
210,907,0,DTW,0,BOS,36000,42480,17,A319,N355NB,0,0,108,2520,547
211,159,0,BOS,0,DTW,45000,52560,17,A319,N355NB,0,0,126,3240,547
212,2113,0,DTW,0,AUS,55800,66720,17,A319,N355NB,0,0,182,2280,996
213,867,0,AUS,0,MSP,69000,78480,17,A319,N355NB,0,0,158,2820,905
214,2187,0,MSP,0,RAP,81300,87000,17,A319,N355NB,0,1,95,0,423
215,1417,0,ROA,0,ATL,26700,32280,17,A319,N357NB,1,0,93,2640,310
216,2225,0,ATL,0,PVD,34920,44040,17,A319,N357NB,0,0,152,2460,782
217,2225,0,PVD,0,ATL,46500,55980,17,A319,N357NB,0,0,158,14460,782
218,1846,0,ATL,0,BNA,70440,74640,17,A319,N357NB,0,1,70,0,185
219,2403,0,SAT,0,SLC,34740,44940,17,A319,N358NB,1,0,170,3360,943
220,1331,0,SLC,0,JAC,48300,51780,17,A319,N358NB,0,0,58,2220,177
221,1331,0,JAC,0,SLC,54000,57420,17,A319,N358NB,0,0,57,4080,177
222,2563,0,SLC,0,SNA,61500,68040,17,A319,N358NB,0,1,109,0,510
223,1929,0,IAD,0,MSP,24000,33240,17,A319,N360NB,1,0,154,2760,786
224,1796,0,MSP,0,LGA,36000,45600,17,A319,N360NB,0,0,160,2700,883
225,1174,0,LGA,0,PBI,48300,59160,17,A319,N360NB,0,0,181,2580,899
226,1174,0,PBI,0,LGA,61740,72000,17,A319,N360NB,0,0,171,2700,899
227,2331,0,LGA,0,DTW,74700,81780,17,A319,N360NB,0,1,118,0,433
228,2503,0,DLH,0,MSP,22500,25620,17,A319,N361NB,1,0,52,7680,125
229,2561,0,MSP,0,PIT,33300,40140,17,A319,N361NB,0,0,114,2460,629
230,2581,0,PIT,0,MSP,42600,49920,17,A319,N361NB,0,0,122,2400,629
231,2232,0,MSP,0,TVC,52320,56880,17,A319,N361NB,0,0,76,2160,324
232,2232,0,TVC,0,MSP,59040,63840,17,A319,N361NB,0,0,80,3060,324
233,2097,0,MSP,0,SNA,66900,80460,17,A319,N361NB,0,1,226,0,1319
234,2585,0,MSN,0,MSP,28920,32700,17,A319,N362NB,1,0,63,5100,197
235,2089,0,MSP,0,SNA,37800,51480,17,A319,N362NB,0,0,228,7920,1319
236,2257,0,SNA,0,SLC,59400,65400,17,A319,N362NB,0,0,100,2400,510
237,2546,0,SLC,0,SAN,67800,74460,17,A319,N362NB,0,0,111,2640,543
238,2546,0,SAN,0,SLC,77100,83340,17,A319,N362NB,0,0,104,2460,543
239,2382,0,SLC,0,SFO,85800,93420,17,A319,N362NB,0,1,127,0,518
240,1896,0,STL,0,MSP,28800,34020,17,A319,N363NB,1,0,87,5880,389
241,2413,0,MSP,0,ORD,39900,44820,17,A319,N363NB,0,0,82,2280,289
242,2413,0,ORD,0,MSP,47100,52260,17,A319,N363NB,0,0,86,2640,289
243,2093,0,MSP,0,SNA,54900,68340,17,A319,N363NB,0,0,224,2160,1319
244,2655,0,SNA,0,SLC,70500,76500,17,A319,N363NB,0,0,100,2460,510
245,951,0,SLC,0,MEM,78960,89880,17,A319,N363NB,0,1,182,0,1093
246,558,0,MSY,0,LGA,25620,36600,17,A319,N364NB,1,0,183,3000,1026
247,2449,0,LGA,0,DTW,39600,46740,17,A319,N364NB,0,0,119,2760,433
248,2148,0,DTW,0,LGA,49500,55800,17,A319,N364NB,0,0,105,2400,433
249,2181,0,LGA,0,MCO,58200,69240,17,A319,N364NB,0,0,184,2160,825
250,1976,0,MCO,0,LGA,71400,81000,17,A319,N364NB,0,1,160,0,825
251,2108,0,MSP,0,DEN,45300,52620,17,A319,N365NB,1,0,122,2580,589
252,2108,0,DEN,0,MSP,55200,61920,17,A319,N365NB,0,1,112,0,589
253,1370,0,TVC,0,DTW,24000,28020,17,A319,N366NB,1,0,67,3180,179
254,1844,0,DTW,0,DFW,31200,41040,17,A319,N366NB,0,0,164,2160,855
255,1844,0,DFW,0,DTW,43200,52980,17,A319,N366NB,0,0,163,3720,855
256,708,0,DTW,0,CLT,56700,63600,17,A319,N366NB,0,0,115,4200,434
257,708,0,CLT,0,DTW,67800,74700,17,A319,N366NB,0,0,115,3420,434
258,2632,0,DTW,0,TVC,78120,81900,17,A319,N366NB,0,1,63,0,179
259,1919,0,LGA,0,MSP,22500,32700,17,A319,N368NB,1,0,170,3600,883
260,1549,0,MSP,0,BIL,36300,43920,17,A319,N368NB,0,0,127,2400,647
261,1549,0,BIL,0,MSP,46320,53100,17,A319,N368NB,0,0,113,2700,647
262,1187,0,MSP,0,EWR,55800,65220,17,A319,N368NB,0,0,157,2580,873
263,1187,0,EWR,0,MSP,67800,78960,17,A319,N368NB,0,1,186,0,873
264,924,0,CRW,0,ATL,25200,30480,17,A319,N369NB,1,0,88,2400,315
265,1295,0,ATL,0,PIT,32880,38880,17,A319,N369NB,0,0,100,2100,457
266,1295,0,PIT,0,ATL,40980,47040,17,A319,N369NB,0,0,101,3660,457
267,2015,0,ATL,0,IAD,50700,57240,17,A319,N369NB,0,0,109,2100,463
268,200,0,IAD,0,ATL,59340,66300,17,A319,N369NB,0,0,116,2640,463
269,2346,0,ATL,0,MDW,68940,76080,17,A319,N369NB,0,1,119,0,513
270,583,0,BOS,0,DTW,33000,40620,17,A319,N370NB,1,0,127,4980,547
271,2244,0,DTW,0,DCA,45600,50940,17,A319,N370NB,0,0,89,3060,351
272,1945,0,DCA,0,DTW,54000,59940,17,A319,N370NB,0,0,99,3360,351
273,863,0,DTW,0,MKE,63300,67440,17,A319,N370NB,0,0,69,2760,205
274,863,0,MKE,0,DTW,70200,74280,17,A319,N370NB,0,0,68,4320,205
275,870,0,DTW,0,MSN,78600,83040,17,A319,N370NB,0,1,74,0,269
276,1064,0,TPA,0,LGA,29100,38640,17,A319,N371NB,1,0,159,3360,878
277,1875,0,LGA,0,TPA,42000,52740,17,A319,N371NB,0,0,179,2760,878
278,1875,0,TPA,0,LGA,55500,65340,17,A319,N371NB,0,0,164,3060,878
279,2370,0,LGA,0,PBI,68400,79560,17,A319,N371NB,0,1,186,0,899
280,483,0,JFK,0,MCO,29400,39360,17,A320,N309US,1,0,166,2400,820
281,814,0,MCO,0,BOS,41760,52800,17,A320,N309US,0,0,184,2400,974
282,1699,0,BOS,0,MCO,55200,66480,17,A320,N309US,0,0,188,2520,974
283,1102,0,MCO,0,BOS,69000,79860,17,A320,N309US,0,1,181,0,974
284,2426,0,RDU,0,SLC,27900,44040,17,A320,N310NW,1,0,269,3660,1579
285,2375,0,SLC,0,SFO,47700,55620,17,A320,N310NW,0,0,132,2580,518
286,2375,0,SFO,0,SLC,58200,65040,17,A320,N310NW,0,0,114,3360,518
287,1439,0,SLC,0,LAX,68400,75300,17,A320,N310NW,0,0,115,2400,511
288,713,0,LAX,0,MSP,77700,89940,17,A320,N310NW,0,1,204,0,1331
289,874,0,LGA,0,MIA,33000,44700,17,A320,N311US,1,0,195,2400,953
290,874,0,MIA,0,LGA,47100,57900,17,A320,N311US,0,0,180,2700,953
291,2231,0,LGA,0,DTW,60600,68340,17,A320,N311US,0,0,129,3360,433
292,1917,0,DTW,0,LAS,71700,87300,17,A320,N311US,0,0,260,8100,1514
293,2414,0,LAS,0,CVG,95400,108780,17,A320,N311US,0,1,223,0,1453
294,544,0,ATL,0,MHT,54660,64200,17,A320,N312US,1,0,159,2400,825
295,544,0,MHT,0,ATL,66600,76740,17,A320,N312US,0,0,169,2700,825
296,1812,0,ATL,0,ORD,79440,86640,17,A320,N312US,0,1,120,0,526
297,1097,0,RDU,0,LAX,27420,46080,17,A320,N313US,1,0,311,2400,1938
298,1097,0,LAX,0,RDU,48480,66300,17,A320,N313US,0,0,297,2400,1938
299,1566,0,RDU,0,LAX,68700,87480,17,A320,N313US,0,0,313,3420,1938
300,1394,0,LAX,0,RDU,90900,108840,17,A320,N313US,0,1,299,0,1938
301,861,0,FAR,0,MSP,30420,33900,17,A320,N314US,1,0,58,4800,192
302,729,0,MSP,0,GEG,38700,49560,17,A320,N314US,0,0,181,3060,1017
303,729,0,GEG,0,MSP,52620,62280,17,A320,N314US,0,0,161,4020,1017
304,2333,0,MSP,0,SLC,66300,76380,17,A320,N314US,0,0,168,3420,858
305,1631,0,SLC,0,IAH,79800,90360,17,A320,N314US,0,1,176,0,1036
306,1263,0,PVD,0,ATL,22800,32100,17,A320,N315US,1,0,155,37620,782
307,1100,0,ATL,0,BOS,69720,79320,17,A320,N315US,0,1,160,0,820
308,2315,0,CVG,0,ATL,25500,31200,17,A320,N316US,1,0,95,37500,324
309,2024,0,ATL,0,BWI,68700,75840,17,A320,N316US,0,1,119,0,499
310,2495,0,LGA,0,FLL,31500,43080,17,A320,N317US,1,0,193,2520,935
311,2495,0,FLL,0,LGA,45600,56340,17,A320,N317US,0,0,179,2760,935
312,1619,0,LGA,0,MSP,59100,70740,17,A320,N317US,0,0,194,3360,883
313,892,0,MSP,0,MCI,74100,79080,17,A320,N317US,0,1,83,0,341
314,1440,0,SLC,0,MSP,28800,37560,17,A320,N318US,1,0,146,2940,858
315,1764,0,MSP,0,DCA,40500,49140,17,A320,N318US,0,0,144,3960,806
316,1763,0,DCA,0,MSP,53100,62760,17,A320,N318US,0,0,161,2940,806
317,1094,0,MSP,0,JFK,65700,75600,17,A320,N318US,0,1,165,0,890
318,1745,0,SMF,0,MSP,35700,47640,17,A320,N319US,1,0,199,7560,1313
