code,latitude,longitude
 MZJ,32.50983333,-111.3253333
 NGU,36.93744444,-76.28925
 NKT,34.90316667,-76.88075
 NKX,32.86833333,-117.1417222
 NQX,24.57569444,-81.68883333
 NTD,34.11925,-119.1195556
 NTU,36.82272222,-76.03188889
 NZY,32.69819444,-117.2130833
 O26,36.58869444,-118.0493889
 OAJ,34.82916667,-77.61213889
 OAK,37.72127778,-122.2207222
 OCF,29.17186111,-82.22411111
 OGG,20.89863889,-156.4304444
 OKC,35.39305556,-97.60075
 OKK,40.52816667,-86.05897222
 OMA,41.30316667,-95.89405556
 ONT,34.056,-117.6011944
 ORD,41.98163889,-87.90666667
 ORF,36.89461111,-76.20122222
 ORL,28.54547222,-81.33291667
 OSH,43.98447222,-88.55691667
 OXB,38.31044444,-75.12397222
 PAE,47.90697222,-122.2815556
 PAM,30.07,-85.5765
 PBI,26.68316667,-80.09558333
 PDK,33.87561111,-84.30197222
 PDX,45.58869444,-122.5968611
 PHF,37.13188889,-76.49297222
 PHL,39.87222222,-75.24086111
 PHX,33.43427778,-112.0115833
 PIA,40.66419444,-89.69325
 PIB,31.46713889,-89.33705556
 PIE,27.91,-82.68741667
 PIH,42.90980556,-112.5959167
 PIT,40.49147222,-80.23286111
 PNS,30.47341667,-87.18661111
 POB,35.17086111,-79.01447222
 PSC,46.26469444,-119.1190278
 PSE,18.00830556,-66.56302778
 PSM,43.07794444,-70.82327778
 PSP,33.82966667,-116.5066944
 PTK,42.66561111,-83.4205
 PUB,38.28913889,-104.4965
 PVD,41.72397222,-71.42819444
 PWM,43.64616667,-70.30927778
 RAP,44.04533333,-103.0573611
 RDU,35.87763889,-78.78747222
 RFD,42.19536111,-89.09722222
 RIC,37.50516667,-77.31966667
 RIV,33.88191667,-117.259
 RKS,41.59422222,-109.0651944
 RNO,39.49911111,-119.7681111
 ROA,37.32547222,-79.97541667
 ROC,43.11913889,-77.67186111
 ROW,33.30155556,-104.5305556
 RST,43.90827778,-92.50002778
 RSW,26.53616667,-81.75516667
 SAC,38.51252778,-121.4934722
 SAN,32.73355556,-117.1896667
 SAT,29.53369444,-98.46977778
 SAV,32.12758333,-81.20213889
 SBN,41.70822222,-86.31733333
 SDF,38.17408333,-85.73647222
 SEA,47.44988889,-122.3117778
 SFO,37.61897222,-122.3748889
 SGF,37.24566667,-93.38863889
 SHV,32.44661111,-93.82561111
 SJC,37.36266667,-121.9291111
 SJU,18.43927778,-66.002
 SKA,47.61505556,-117.6557778
 SLC,40.78836111,-111.97775
 SMF,38.69544444,-121.5907778
 SNA,33.67566667,-117.8682222
 SPS,33.98877778,-98.49188889
 SRQ,27.39544444,-82.55438889
 SSC,33.97269444,-80.47055556
 STL,38.74869444,-90.37002778
 STT,18.33730556,-64.97336111
 STX,17.70155556,-64.80169444
 SVN,32.01,-81.14597222
 SWF,41.50411111,-74.10483333
 SWO,36.16138889,-97.08588889
 SYR,43.11119444,-76.10630556
 T94,29.57016667,-98.46838889
 TCL,33.22061111,-87.61138889
 TCM,47.13766667,-122.4764722
 TIK,35.41472222,-97.38661111
 TLH,30.39652778,-84.35033333
 TOL,41.58680556,-83.80783333
 TPA,27.97547222,-82.53325
 TUL,36.19838889,-95.88811111
 TUS,32.11608333,-110.9410278
 TVC,44.74163889,-85.58236111
 TWF,42.48180556,-114.48775
 TYS,35.81097222,-83.99402778
 VCV,34.59747222,-117.383
 VNY,34.20980556,-118.4899722
 VOK,43.93922222,-90.25313889
 VPS,30.48319444,-86.52602778
 VQQ,30.21877778,-81.87716667
 WRB,32.64016667,-83.59191667
 WRI,40.01558333,-74.59169444
 XNA,36.28155556,-94.30775
CYEG,53.31,-113.5794444
CYQB,46.79111111,-71.39333333
CYUL,45.47055556,-73.74083333
CYVR,49.19472222,-123.1838889
CYWG,49.91,-97.24
CYYC,51.11388889,-114.0202778
CYYT,47.61861111,-52.7525
CYYZ,43.67666667,-79.63055556
DGAA,5.604666667,-0.167388889
DNAA,9.006805556,7.263194444
EBBR,50.90138889,4.467777778
EDDF,50.03333333,8.570555556
EDDL,51.28944444,6.766666667
EDDM,48.35388889,11.78611111
EDDS,48.69,9.221944444
EGAA,54.6575,-6.215833333
EGBB,52.45388889,-1.748055556
EGGD,51.38277778,-2.719166667
EGKK,51.14805556,-0.190277778
EGLL,51.4775,-0.461388889
EGPF,55.87194444,-4.433055556
EHAM,52.30805556,4.764166667
EIDW,53.42138889,-6.27
EINN,52.70194444,-8.924722222
EKCH,55.62861111,12.64694444
ENGM,60.20277778,11.08388889
ESSA,59.65194444,17.91861111
FAJS,-26.13916667,28.24611111
GOOY,14.73944444,-17.49
HECA,30.12194444,31.40555556
LEBL,41.29694444,2.078333333
LEMD,40.47222222,-3.560833333
LEMG,36.675,-4.499166667
LEVC,39.48944444,-0.481666667
LFPG,49.00972222,2.547777778
LGAV,37.93638889,23.94444444
LHBP,47.43944444,19.26194444
LIMC,45.63,8.723055556
LIPZ,45.50527778,12.35194444
LIRF,41.80027778,12.23888889
LIRP,43.68388889,10.3925
LLBG,32.00944444,34.88277778
LPPT,38.77416667,9.134166667
LSGG,46.23833333,6.109444444
LSZH,47.46472222,8.549166667
LTBA,40.97611111,28.81416667
MBPV,21.77361111,-72.26583333
MDLR,18.45083333,-68.91194444
MDPC,18.56666667,-68.35194444
MDPP,19.75777778,-70.57
MDSD,18.42944444,-69.66888889
MDST,19.40609167,-70.60468889
MGGT,14.58166667,-90.52666667
MHTG,14.06166667,-89.21694444
MKJP,17.93555556,-76.7875
MKJS,18.50361111,-77.91333333
MMAA,16.75602778,-99.75161111
MMGL,20.52166667,-103.3111111
MMMD,20.93694444,-89.65777778
MMMX,19.43611111,-99.07194444
MMMY,25.77833333,-100.1063889
MMMZ,23.16135556,-106.2660722
MMSD,23.15166667,-109.7208333
MMUN,21.03666667,-86.87694444
MMZO,19.14472222,-104.5586111
MNMG,12.14138889,-86.16805556
MPTO,9.071388889,-79.38361111
MRLB,10.59305556,-85.54555556
MSLP,13.44111111,-89.05555556
MTPP,18.58,-72.2925
MYGF,26.55861111,-78.69555556
MYNN,25.03888889,-77.46611111
MZBZ,17.53916667,-88.30833333
OJAI,31.7225,35.99333333
OKBK,29.22677778,47.97997222
OMDB,25.25277778,55.36444444
PKMJ,7.064722222,171.2719444
RJAA,35.76527778,140.3855556
RJBB,34.43416667,135.2327778
RKSI,37.46333333,126.44
SAEZ,-34.82222222,-58.53583333
SBBR,-15.86916667,-47.92083333
SBCF,-19.62388889,-43.97138889
SBEG,-3.041111111,-60.05055556
SBFZ,-3.775833333,-38.53222222
SBGL,-22.81,-43.25055556
SBRF,-8.126388889,-34.92277778
SCEL,-33.39277778,-70.78555556
SEGU,-2.1575,-79.88361111
SEQU,-0.141111111,-79.48805556
SKBO,4.701388889,-74.14694444
SKRG,6.167222222,-75.42666667
SLVR,-17.64472222,-63.13527778
SUMU,-34.83833333,-56.03083333
SVMC,10.55805556,-71.72777778
SVMI,10.60305556,-66.99055556
SYCJ,6.498333333,-58.25388889
TBPB,13.07472222,-59.4925
TGPY,12.00416667,-61.78611111
TKPK,17.31111111,-62.71861111
TLPL,13.73333333,-60.9525
TNCB,12.13111111,-68.26861111
TNCC,12.18888889,-68.95972222
TNCM,18.04083333,-63.10944444
TTPP,10.59527778,-61.33722222
TXKF,32.36416667,-64.67861111
UKBB,50.34472222,30.89333333
UUEE,55.97277778,37.41472222
VABB,19.08861111,72.86805556
VHHH,22.30888889,113.9144444
YSSY,-33.94611111,151.1772222
ZBAA,40.08,116.5844444
ZSPD,31.14333333,121.8052778
